Row,Start,End,Launch Vehicle,Mission,Program,DurationDays,DurationHours,DurationMins,DurationSecs,,,
1755,"Sun Apr 28, 1991 11:33 UTC","Mon May 06, 1991 18:33:00 UTC",Discovery,STS-39,Space Shuttle,08d,07h,0m,0s,,,
1750,"Wed Jun 05, 1991 13:24 UTC","Fri Jun 14, 1991 15:24:00 UTC",Columbia,STS-40,Space Shuttle,09d,02h,0m,0s,,,
1741,"Fri Aug 02, 1991 15:02 UTC","Sun Aug 11, 1991 12:02:00 UTC",Atlantis,STS-43,Space Shuttle,08d,21h,0m,0s,,,
1732,"Thu Sep 12, 1991 23:11 UTC","Wed Sep 18, 1991 07:11:00 UTC",Discovery,STS-48,Space Shuttle,05d,08h,0m,0s,,,
1724,"Sun Nov 24, 1991 23:44 UTC","Sun Dec 01, 1991 21:44:00 UTC",Atlantis,STS-44,Space Shuttle,06d,22h,0m,0s,,,
1716,"Wed Jan 22, 1992 14:52 UTC","Thu Jan 30, 1992 15:52:00 UTC",Discovery,STS-42,Space Shuttle,08d,01h,0m,0s,,,
1705,"Tue Mar 24, 1992 13:13 UTC","Thu Apr 02, 1992 11:13:00 UTC",Atlantis,STS-45,Space Shuttle,08d,22h,0m,0s,,,
1700,"Thu May 07, 1992 23:40 UTC","Sat May 16, 1992 20:40:00 UTC",Endeavour,STS-49,Space Shuttle,08d,21h,0m,0s,,,
1695,"Thu Jun 25, 1992 16:12 UTC","Thu Jul 09, 1992 11:12:00 UTC",Columbia,STS-50,Space Shuttle,13d,19h,0m,0s,,,
1686,"Fri Jul 31, 1992 13:56 UTC","Sat Aug 08, 1992 12:56:00 UTC",Atlantis,STS-46,Space Shuttle,07d,23h,0m,0s,,,
1677,"Sat Sep 12, 1992 14:23 UTC","Sun Sep 20, 1992 12:23:00 UTC",Endeavour,STS-47,Space Shuttle,07d,22h,0m,0s,,,
1671,"Thu Oct 22, 1992 17:09 UTC","Sun Nov 01, 1992 13:09:00 UTC",Columbia,STS-52,Space Shuttle,09d,20h,0m,0s,,,
1660,"Wed Dec 02, 1992 13:24 UTC","Wed Dec 09, 1992 20:24:00 UTC",Discovery,STS-53,Space Shuttle,07d,07h,0m,0s,,,
1652,"Wed Jan 13, 1993 13:59 UTC","Tue Jan 19, 1993 12:59:00 UTC",Endeavour,STS-54,Space Shuttle,05d,23h,0m,0s,,,
1638,"Thu Apr 08, 1993 05:29 UTC","Sat Apr 17, 1993 11:29:00 UTC",Discovery,STS-56,Space Shuttle,09d,06h,0m,0s,,,
1633,"Mon Apr 26, 1993 14:50 UTC","Thu May 06, 1993 13:50:00 UTC",Columbia,STS-55,Space Shuttle,09d,23h,0m,0s,,,
1626,"Mon Jun 21, 1993 13:07 UTC","Thu Jul 01, 1993 12:07:00 UTC",Endeavour,STS-57,Space Shuttle,09d,23h,0m,0s,,,
1612,"Sun Sep 12, 1993 11:45 UTC","Wed Sep 22, 1993 07:45:00 UTC",Discovery,STS-51,Space Shuttle,09d,20h,0m,0s,,,
1605,"Mon Oct 18, 1993 14:53 UTC","Mon Nov 01, 1993 14:53:00 UTC",Columbia,STS-58,Space Shuttle,14d,00h,0m,0s,,,
1598,"Thu Dec 02, 1993 09:27 UTC","Mon Dec 13, 1993 04:27:00 UTC",Endeavour,STS-61,Space Shuttle,10d,19h,0m,0s,,,
1590,"Thu Feb 03, 1994 12:10 UTC","Thu Feb 10, 1994 18:10:00 UTC",Discovery,STS-60,Space Shuttle,07d,06h,0m,0s,,,
1584,"Fri Mar 04, 1994 13:53 UTC","Fri Mar 18, 1994 12:53:00 UTC",Columbia,STS-62,Space Shuttle,13d,23h,0m,0s,,,
1580,"Sat Apr 09, 1994 11:05 UTC","Wed Apr 20, 1994 16:05:00 UTC",Endeavour,STS-59,Space Shuttle,11d,05h,0m,0s,,,
1568,"Fri Jul 08, 1994 04:43 UTC","Fri Jul 22, 1994 21:43:00 UTC",Columbia,STS-65,Space Shuttle,14d,17h,0m,0s,,,
1552,"Fri Sep 09, 1994 22:22 UTC","Tue Sep 20, 1994 20:22:00 UTC",Discovery,STS-64,Space Shuttle,10d,22h,0m,0s,,,
1550,"Fri Sep 30, 1994 11:16 UTC","Tue Oct 11, 1994 16:16:00 UTC",Endeavour,STS-68,Space Shuttle,11d,05h,0m,0s,,,
1542,"Thu Nov 03, 1994 16:59 UTC","Mon Nov 14, 1994 14:59:00 UTC",Atlantis,STS-66,Space Shuttle,10d,22h,0m,0s,,,
1524,"Fri Feb 03, 1995 05:22 UTC","Sat Feb 11, 1995 11:22:00 UTC",Discovery,STS-63,Space Shuttle,08d,06h,0m,0s,,,
1523,"Thu Mar 02, 1995 06:38 UTC","Sat Mar 18, 1995 21:38:00 UTC",Endeavour,STS-67,Space Shuttle,16d,15h,0m,0s,,,
1503,"Tue Jun 27, 1995 19:32 UTC","Fri Jul 07, 1995 14:32:00 UTC",Atlantis,STS-71,Space Shuttle,09d,19h,0m,0s,,,
1499,"Thu Jul 13, 1995 13:41 UTC","Sat Jul 22, 1995 11:41:00 UTC",Discovery,STS-70,Space Shuttle,08d,22h,0m,0s,,,
1489,"Thu Sep 07, 1995 15:09 UTC","Mon Sep 18, 1995 11:09:00 UTC",Endeavour,STS-69,Space Shuttle,10d,20h,0m,0s,,,
1485,"Fri Oct 20, 1995 13:53 UTC","Sun Nov 05, 1995 10:53:00 UTC",Columbia,STS-73,Space Shuttle,15d,21h,0m,0s,,,
